source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,parallax_over_error,phot_bp_mean_mag,phot_rp_mean_mag
137338829195586432,45.11897632597615,35.33423076596929,-1.4694042528632918,-0.3092802477715133,-0.12576909262382005,20.305956,0.73485947,-1.968167,20.75194,20.01708
137339207152695424,45.03068142477852,35.32503554723346,0.9849359524622576,-2.1183850928901977,-0.9815350794641993,19.782421,1.126236,2.0953655,20.274881,19.148645
137339275872182528,45.01616179411337,35.3340531481935,0.899287412197122,-4.0333116496459835,0.06407255810271237,18.094265,1.7759724,5.6839185,18.975348,17.199375
137339378951397504,45.03373777792372,35.333715638747606,0.2026552771490445,-0.9745228847367549,-1.1625271601068041,17.883663,0.9296856,1.4764377,18.277687,17.348001
137339585109844864,45.111536747711455,35.34874075763751,0.5905694649331129,4.476051718844936,-2.382440627585872,16.444675,0.9795923,10.018217,16.84381,15.864217
137340276599650176,45.160297862258716,35.35179557200639,0.5286453553006332,0.2092040953263935,-0.6360028769084504,15.587063,0.87610245,13.639525,15.943416,15.067313
137340512822815872,45.174464411384314,35.393931605612465,0.06425402909850832,-2.3428362930812794,-1.9111575648929038,20.20177,1.3487415,0.10242231,20.79934,19.450598
137340860715191552,45.21166474598148,35.41384583084995,1.7501702561971988,-3.385124283483609,-6.50701640019717,15.403451,1.36413,43.176624,16.016058,14.651928
137341028218918784,45.20835677979391,35.431816387109244,0.6088562231308207,-3.823819285865352,-0.4158316058134721,20.681168,0.6590862,0.55736053,20.892033,20.232946
137341165657834880,45.11707354992727,35.380892914112096,0.08325895125942177,0.12160209743171252,-1.2845251204993664,18.26777,0.951849,0.54111266,18.678402,17.726553
137341852852897664,45.1822962432917,35.45652375658358,1.0219258524295272,-0.9961700037951577,-3.21792191970338,19.800854,2.187933,2.129362,20.837097,18.649164
137345293121370880,44.92318655754991,35.31226323757283,0.2543111594901391,0.5856298474552046,-1.3272859448990884,16.11781,0.8697853,5.2951827,16.459631,15.589846
137345293121937152,44.92181665232734,35.326001012373844,-0.02574959298137696,0.09401052887736364,-0.6697576187322098,19.523098,0.9057846,-0.06972658,19.932953,19.027168
137345323188257664,44.9332983352247,35.32160029879221,0.4159633568689997,0.29018080709618177,-0.8508878517226168,18.37419,0.9609451,2.5888016,18.81182,17.850874
137345391907735808,44.970963583721066,35.34140625581064,0.8175141095248684,-0.29504990548485976,-0.9128774230798364,19.89255,1.1696911,1.7392664,20.458088,19.288397
137345464920435968,44.956278170248005,35.362907008139146,-0.07367320669171984,-0.2630861088837242,-0.09309170849067384,20.060863,1.0172997,-0.14072944,20.388172,19.370872
137345872941949312,44.84447484160969,35.338050854906555,3.228397745055691,0.32586101573674026,0.1473688775320045,20.63978,1.4467392,3.2606475,21.44671,19.999971
137345976021170688,44.85681432224871,35.342233294405766,0.7664598916336306,2.4424930023872538,-5.04914684278376,18.821043,1.3150692,2.81475,19.42347,18.1084
137346285258850816,44.936101393154686,35.38349750763652,0.3752984343196949,-0.5712587891963796,-4.462460473634033,18.647182,1.4388924,1.8669385,19.298502,17.85961
137346422697796992,44.892176940592684,35.37571339207424,1.9093118483118365,1.0207137472751515,-2.7822651532313847,19.790956,2.1493454,4.3049426,20.79659,18.647245
137349480714525952,44.887180358117185,35.39256618607668,0.5233761457165654,-0.12953814238555916,-2.823989445977476,15.175623,0.8985405,14.510668,15.532374,14.633834
137349480714533248,44.88809764283467,35.40384467677615,0.26438822143830365,0.9922601408273292,-1.9422322160734087,18.317028,1.17593,1.5047477,18.810375,17.634445
137350099189823488,44.78573693824834,35.40529382410873,0.7095517738882549,0.4303979254332346,0.10253865807245592,19.29725,0.7986374,2.2051196,19.655523,18.856886
137350618880810240,44.851895044707796,35.46145019421403,0.2505313712247424,1.3253726011059213,0.648135190061573,16.238499,1.1680517,4.286665,16.74277,15.5747175
137350618880810752,44.858310460375264,35.450103304869614,0.2644243357313476,0.7459403744552313,-0.4480261229051337,18.804642,1.0724735,1.2041222,19.255238,18.182764
137350683305413376,44.84428339579281,35.46503488990103,0.30580989648618934,0.020652407917490317,0.5768563101547353,19.36554,1.0337353,0.88074857,19.818022,18.784286
137350717665140480,44.810317942254194,35.44259155479921,0.060468057185409096,-0.6391301773165299,-1.850869762513882,18.946997,0.9273224,0.24871631,19.267895,18.340572
137350752024883200,44.811796971257685,35.45410066980647,0.16716470146987797,-0.11228933016989473,-0.3778156589830426,17.119781,0.90693855,1.911297,17.482908,16.57597
137350889463855744,44.836865744343584,35.483881592672404,0.1077038241323689,0.20172050437704422,-0.35799278161557335,19.128698,1.0772552,0.39709842,19.641808,18.564552
137351099917245184,44.990895909476436,35.35151675723699,1.7351576287962371,0.13524997811607076,19.125433619684905,17.23568,1.9753208,19.780993,18.235716,16.260395
137351443514236032,45.008736983449175,35.381375511667876,-3.0425312790618424,-1.0852828778890729,-3.151020209571808,20.695488,1.0627308,-2.0466468,21.008654,19.945923
