source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
137333365999306624,45.003085437246824,35.31421814401729,0.22561767660747395,2.3111099266644075,-0.48060671674933103,19.339882,1.5669289
137337626604785664,45.24158172830418,35.38207514649842,-0.3825249299783056,1.360268392704843,-1.2932196191272385,20.338495,1.9924564
137339486325672704,45.10751729369523,35.33991028047406,0.7606051196470217,6.094734940314056,-3.40887557207743,16.986778,1.2314901
137339928707256960,45.070040691646035,35.38624585109338,,,,20.352104,1.8136234
137340375383849472,45.14766646032983,35.377284157661705,-1.4715806042423223,1.1614304032543825,0.6491280077726452,20.067802,0.79268456
137340718981261568,45.24663443870708,35.41248285443802,0.5544725570149771,4.273932573371384,-0.8199834205960744,18.530119,1.5711594
137340723276237440,45.252041556600155,35.403772818047784,0.9306552902561916,6.185548484832363,-1.3309073904915092,14.660485,0.9576769
137340890779951616,45.19481057433486,35.41212120144094,1.0460471703667829,33.38092553539568,-28.07036830281349,20.344744,1.7632942
137341238672637440,45.157539392099494,35.39417273345611,,,,21.393093,1.5246105
137341479190062848,45.102734564771694,35.42273751135722,-0.5271582080035245,1.0269446658476888,-0.6697024583061462,20.630365,1.7030754
137341887214486528,45.20020744176778,35.45993447001754,,,,20.526386,1.8983383
137342093370833408,45.189956475248366,35.47635769128946,4.244955046134194,-2.5326353632052574,-4.615308298583179,17.335745,2.6273994
137345976021167360,44.86148501899678,35.33976363793297,-3.2768581871781017,0.32328990475015895,-0.9967066315023765,20.718367,1.3148861
137346044740636288,44.91259905408636,35.33230055607528,0.14840931350302194,-0.8406059699992392,-1.2404567304741156,20.451077,0.68660736
137346392632994944,44.88126694656205,35.36790867120019,1.4176575044135513,7.281374907876023,-9.747041506771941,13.665539,0.88663006
137346422699049984,44.88900267871439,35.38122111855904,0.3387715959515378,0.5126494745543418,0.8814923757572131,20.70596,0.62358856
137346564431685120,44.909108932055474,35.39570786644962,3.1615724382556794,16.552442409583055,-26.91625203354407,15.698613,1.9678555
137348965318434432,44.85760093551953,35.37294630756399,1.716800506165299,0.08256339989543496,0.9022234868291508,19.786932,1.2238159
137349377635308288,44.88081062012283,35.390063716998846,1.1047462688069172,6.980419933866711,-13.890581253652051,19.24566,2.107256
137349446354787328,44.87086707685871,35.392973473299044,0.47624971411308353,-0.09979353105369793,-0.021338326011086057,19.272678,0.9419079
137349515074280192,44.89647623428044,35.41564768145032,-0.14194463548571984,-0.6912326916584344,-0.8941000488827487,18.754627,0.9710388
137349519369183744,44.9100658705783,35.41108417650945,1.0952222740245152,-0.7860197176262089,-0.5295839447732045,15.593032,1.1505556
137349553727756032,44.88108221241528,35.41424196303574,0.40589889163183307,8.946972904778349,-7.343308100513424,20.238478,
137349691167876864,44.83895496298235,35.40867791320502,1.420701278608027,-5.916133044963277,-3.3334379081104357,14.612195,1.0488949
137350889463849472,44.84004707723305,35.47398480327062,2.373568805839545,1.7074436642255608,-1.2613634296267648,17.656832,2.4804993
137351267420889600,44.97919963364718,35.351432257922916,0.6839242447398178,-0.8505731327815695,-4.540949049874723,20.26322,1.4530163
137351267420897408,44.975623400942695,35.36163452551048,0.2598471468402207,8.258862895950376,-6.55317156682114,18.178473,0.9474144
137351714097528960,45.077491386450774,35.40313174556788,-1.0289248298869405,0.18112186765761262,-1.154651134535382,20.04067,0.93416786
137351752752261504,45.057073610328416,35.41262342136346,1.03945861059927,10.652690635978463,0.018605018241396813,15.460941,1.1342373
137351890191217408,45.01455699898121,35.40734318757638,6.623565608145502,-18.713742032074695,-16.50525027388214,16.256985,
137351993270426880,45.05705232708994,35.42998338290026,,,,19.728287,1.2697487
137352092054630656,44.95622568448783,35.377827795313266,0.5406858029569808,1.724488815241087,-1.0989644766897029,17.777971,1.2863197
137352126414374784,44.96121765714752,35.384823185810816,0.5092601066143468,-3.6719548302707006,-3.4721046578979924,20.796427,1.153986
137352366932554112,44.94247626559141,35.40005073891906,0.2518542765436971,1.8857094873911195,-0.9444765440343137,20.379309,1.5278187
137352646104384384,45.00153091000312,35.4299906583623,0.35039801184059116,-1.1288637425211434,-1.9187093595456202,19.222103,0.9837856
137352744889708032,44.99988421802316,35.44961091451275,1.0682415418790911,10.646607011537434,-5.463364685524878,19.707832,2.4762936
137353157206591616,44.99545174379653,35.48639727873605,1.056673685388998,3.0589883266030604,1.0309462088591033,20.00999,1.6290874
137353500803954944,45.08325159835865,35.452839087238736,0.3816461409271139,-2.3930765312700544,-3.515044046088695,19.135155,0.95552635
137353603883419648,45.08227649941725,35.462295929985764,1.2318949362641314,15.633896632553588,-7.55986547375551,20.512573,1.9623508
137354565955869696,45.02108189632453,35.49671477787399,-1.191238555746311,5.289623638759692,-1.4801665515679685,19.238777,1.8225307
137354742049484288,45.055706403186456,35.53283633607214,0.3463301976787179,-0.0026347490801842954,1.1364274383241522,15.830835,0.86679554
137354978272744832,45.10580192810386,35.53308385323891,1.457824222318447,-2.811213921138757,0.297908675008225,18.327627,2.1708717
137355253152768256,45.091337847229155,35.554751921054624,,,,20.892046,1.5967808
137355257445557504,45.09144974797411,35.56512394041309,0.07755122712122269,4.319786616082757,-9.028303647037315,20.026592,1.9445782
137355601042872448,44.925314487461044,35.45914095753475,0.01800320750383789,1.2638097749037807,-2.3622397174606724,19.915382,2.0716133
137356150798682240,44.96985790146604,35.50510801333747,0.48194673988078396,5.396310612515647,-1.5965543373156066,17.943188,1.3054256
137356253877897728,44.95327372131717,35.49919671047026,0.3918771927897659,-1.3729303719759616,-0.2353904218751226,16.208704,1.0657797
137356283942785664,44.92049156259183,35.49482033842266,0.46262903925173793,9.82490392985714,5.985421653685009,19.8681,2.1502666
137356352662271616,44.960885131657065,35.51141183860525,0.09587294408857025,1.5938702784409067,-2.0238592627087093,17.942202,1.1463356
137356563115545728,44.85727401155388,35.488507152377565,3.7137555273860836,61.864994581132265,-17.06252355199139,15.888798,2.1812963
137357147231094656,44.91490855637796,35.53256054546082,1.0743291535228117,20.27922156154016,-14.546197188045477,17.11407,1.6108761
137357211655742208,44.94688750372326,35.54553791689273,-0.07771119459064764,1.4451573856910864,-5.209587513428527,19.484133,1.399292
137357211655742976,44.94280601246983,35.54768524877298,-2.177840406540262,-0.6880553889956618,-1.959699027637694,20.082499,1.1941147
137357284669560448,44.939083425546414,35.56392670866433,,,,20.865961,2.6747608
137357761411556736,45.029965374950955,35.545680476802616,0.006172404493707619,0.04066899923232725,-0.43854380962272155,19.132792,1.0268192
137357765706460288,45.02505567161462,35.547299523478486,0.1578820083016119,0.12096238904745968,-0.8553391388743193,19.958372,1.1844959
137358281102533248,45.06312608221859,35.57730238549072,-0.5777485126501214,0.05957880447471345,-0.518302329293191,19.95406,1.2897053
137358349821933312,45.05255930291697,35.59405366666974,0.8578592138124708,3.6143658500932663,-0.501279960689421,14.786365,1.0881338
137358448606336896,45.03683359409852,35.58852977513793,0.057467991124321605,-0.5057107544647124,0.006642530606828299,18.828463,1.1396294
137359414973821312,45.031341803581164,35.64636117652459,0.34449963709652914,0.3785048866430213,-3.5608745669073616,15.6430025,0.9050665
138757856325682944,46.94100444429516,36.165772287325424,0.4189965211957284,2.847956632300412,-3.5810552083354037,16.537611,1.0233793
138762146997805696,47.14158874779505,36.267829436522064,,,,20.616129,0.24803925
138763109070312320,46.99225254367754,36.18863086586508,0.07004588928916633,-0.24814645114220835,-0.3828706629148316,17.444473,1.2867393
138763177789792512,47.018231278630964,36.19834801736381,-0.12639240455456893,-0.7193906564925656,-0.5620840756632828,18.966715,1.1156445
138763731840510720,47.06700607929186,36.24022939514186,-0.03826836790511623,4.4196517120383385,-3.5702021484878004,20.496328,1.7940369
